_id,Codigo_Accidente,Longitud,Latitud,Direccion,AA_Acc,MM_Acc,DD_Mes_Acc,Dia_Semana_Acc,Hora_Acc,Min_Acc,Localidad,Clase_Acc,Elemento_Choque,Tipo_Objeto_Fijo,Gravedad_Indicador_Tradicional,Con_Bicicleta,Con_Carga,Con_Embriaguez,Con_Huecos,Con_Menores,Con_Moto,Con_Peaton,Con_Persona_Mayor,Con_Rutas,Con_Tpi,Con_Tpp,Con_Velocidad,Con_Sitp,Con_Troncal,Con_Alimentador,Con_Zonal,Con_Provisional,Con_Articulado,Con_Biarticulado,Con_Padron_Dual,Con_Servicio_Especial,Con_Taxi
248327,10583087,-74.137,4.552,AV AVENIDA BOYACA - CL 66  S 02,2022,Octubre,24,lunes,5,15,Ciudad Bolívar,Atropello,N/A,N/A,Con Heridos,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248328,10583092,-74.084,4.74,KR 90  - CL 146 B  02,2022,Octubre,24,lunes,22,50,Suba,Choque,Objeto Fijo,Inmueble,Solo Daños,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248329,10583097,-74.122,4.569,DG 46 B  S- TV 15 A BIS  02,2022,Octubre,23,domingo,20,27,Rafael Uribe Uribe,Choque,Vehículo,N/A,Solo Daños,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248330,10583099,-74.155,4.68,CL 17  - KR 113   02,2022,Octubre,25,martes,17,0,Fontibón,Atropello,N/A,N/A,Con Muertos,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
248331,10583100,-74.143234761,4.602508758,KR 72  - CL 40  S 02,2022,Octubre,24,lunes,17,58,Kennedy,Choque,Vehículo,N/A,Con Heridos,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
248332,10583103,-74.091,4.532,KR 11  E- CL 59  S 02,2022,Octubre,23,domingo,20,0,San Cristóbal,Choque,Vehículo,N/A,Con Heridos,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
248333,10583104,-74.138,4.595,CL 6  S- KR 46   02,2022,Octubre,23,domingo,18,10,Ciudad Bolívar,Atropello,N/A,N/A,Con Heridos,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248334,10583105,-74.109,4.609,CL 3  - KR 38   02,2022,Octubre,24,lunes,9,50,Puente Aranda,Atropello,N/A,N/A,Con Heridos,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248335,10583110,-74.126,4.574,KR 21  - CL 45 A  S 02,2022,Octubre,23,domingo,13,38,Rafael Uribe Uribe,Choque,Objeto Fijo,Poste,Con Heridos,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
248336,10583111,-74.10859791224,4.71867497607,CL 86 A  - KR 103 C  02,2022,Octubre,24,lunes,5,55,Engativá,Choque,Vehículo,N/A,Con Heridos,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248337,10583113,-74.14319834206,4.62676861995,DG 5 A  - KR 73 C  02,2022,Octubre,25,martes,5,50,Kennedy,Choque,Vehículo,N/A,Con Heridos,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248338,10583134,-74.090724906,4.7211487615,CL 128 A  - KR 91 B  02,2022,Octubre,24,lunes,8,0,Suba,Choque,Vehículo,N/A,Con Heridos,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
248340,10582039,-74.106,4.696,AK 86  - CL 72   02,2022,Octubre,1,sábado,8,20,Engativá,Choque,Vehículo,N/A,Solo Daños,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248341,10582084,-74.106,4.62,CL 6  - TV 43 B  02,2022,Octubre,1,sábado,14,10,Puente Aranda,Choque,Vehículo,N/A,Con Heridos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248343,10582501,-74.185,4.598,CL 65 G  - KR 77 J  02,2022,Octubre,5,miércoles,19,30,Bosa,Choque,Vehículo,N/A,Con Heridos,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248344,10582508,-74.125,4.685,CL 26  - KR 96   02,2022,Octubre,10,lunes,8,20,Fontibón,Choque,Vehículo,N/A,Con Heridos,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248345,10582522,-74.18,4.597,AU SUR - CL 65  S 02,2022,Octubre,10,lunes,11,8,Bosa,Choque,Vehículo,N/A,Solo Daños,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
248346,10582528,-74.121,4.555,CL 51  S- KR 6 A  02,2022,Octubre,8,sábado,10,50,Usme,Atropello,N/A,N/A,Con Heridos,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248347,10582532,-74.122,4.517,KR 14 V  - CL 73 B  S 02,2022,Octubre,10,lunes,18,30,Usme,Choque,Vehículo,N/A,Con Heridos,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
248348,10582563,-74.147,4.674,CL 17  - KR 102   02,2022,Octubre,10,lunes,17,30,Fontibón,Choque,Vehículo,N/A,Con Heridos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248349,10582564,-74.06,4.664,CL 77  - KR 16 A  02,2022,Octubre,11,martes,9,0,Chapinero,Choque,Vehículo,N/A,Con Heridos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248350,10582567,-74.173,4.596,AU SUR - KR 74 G  02,2022,Octubre,11,martes,18,24,Bosa,Atropello,N/A,N/A,Con Heridos,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248351,10582582,-74.145,4.588,TV 60  - DG 52  S 02,2022,Octubre,9,domingo,10,10,Tunjuelito,Choque,Vehículo,N/A,Con Heridos,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
