_id,Codigo_Accidente,Longitud,Latitud,Direccion,AA_Acc,MM_Acc,DD_Mes_Acc,Dia_Semana_Acc,Hora_Acc,Min_Acc,Localidad,Clase_Acc,Elemento_Choque,Tipo_Objeto_Fijo,Gravedad_Indicador_Tradicional,Con_Bicicleta,Con_Carga,Con_Embriaguez,Con_Huecos,Con_Menores,Con_Moto,Con_Peaton,Con_Persona_Mayor,Con_Rutas,Con_Tpi,Con_Tpp,Con_Velocidad,Con_Sitp,Con_Troncal,Con_Alimentador,Con_Zonal,Con_Provisional,Con_Articulado,Con_Biarticulado,Con_Padron_Dual,Con_Servicio_Especial,Con_Taxi,TID_cercano,distancia_grados,distancia_metros_aprox,corredor_from,corredor_to,lat_corredor,lon_corredor,match_valido,vel_promedio_hora,vel_ponderada_hora,num_dispositivos,num_registros,tiene_velocidad
169253,10498600,-74.180111696,4.597074577,AV AVENIDA DEL SUR-CL 65 S 04,2019,Octubre,1,martes,15,50,Bosa,Choque,Vehículo,,Solo Daños,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,149.0,0.005519741907511239,612.6913517337475,AV.CL59SUR,CL59SUR;KR81A,4.6025243,-74.1792353,0.0,19.109635897,,0.0,10.0,0.0
169255,10498602,-74.114489058,4.61554113699998,KR 50-CL 3 02,2019,Octubre,1,martes,17,0,Puente Aranda,Choque,Vehículo,,Solo Daños,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000332.0,0.0033059199547897664,366.95711498166406,CL11SUR,KR7;KR10,4.6123352,-74.11529594999999,1.0,13.807256671916667,,0.0,120.0,1.0
169257,10498604,-74.073041444,4.676443178,KR 55B-CL 79B 2,2019,Octubre,1,martes,8,50,Barrios Unidos,Choque,Vehículo,,Solo Daños,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52.0,0.001349243825450599,149.76606462501647,CL170,KR7;KR92,4.6777407,-74.07267145,1.0,21.06376805685484,,0.0,124.0,1.0
169259,10498606,-74.089584801,4.616795465,KR 30-CL 18 02,2019,Octubre,1,martes,8,55,Los Mártires,Choque,Vehículo,,Solo Daños,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000700.0,0.0007888093075176159,87.55783313445536,CL13,KR56;KR47,4.616027750000001,-74.0894036,1.0,31.200319141717173,,0.0,99.0,1.0
169260,10498979,-74.083849594,4.59823267799999,KR 14-CL 7 2,2019,Octubre,4,viernes,19,20,Santa Fe,Choque,Vehículo,,Solo Daños,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1001993.0,0.001731895907654639,192.24044574966493,AUTONORTE,VIRREY;CL82,4.599906,-74.0842962,1.0,36.5049532697479,,0.0,119.0,1.0
169261,10498980,-74.075325525,4.61072248400001,AV AVENIDA CARACAS-CL 22 02,2019,Octubre,5,sábado,10,15,Los Mártires,Otro,,,Con Heridos,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,41.0,0.0003620695836312271,40.189723783066206,CL39,KR7;AV.CARACAS,4.61057625,-74.07565675000001,1.0,9.64679227892562,,0.0,121.0,1.0
169262,10498981,-74.071694896,4.65556201499999,KR 24-CL 63F 2,2019,Octubre,4,viernes,18,20,Barrios Unidos,Choque,Vehículo,,Solo Daños,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.0,0.002078391561995266,230.70146338147453,"KR50,CL13",CL17;KR56,4.6570739,-74.07312105,1.0,18.903364768387096,,0.0,93.0,1.0
169263,10498982,-74.1074048,4.74821551399998,CL 143-KR 127A 02,2019,Octubre,4,viernes,20,40,Suba,Choque,Vehículo,,Solo Daños,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1000951.0,0.010953340643500469,1215.8208114285521,AV.SUBA,CL127;HUMEDAL.CORDOBA,4.7388854,-74.1016668,0.0,37.997731443333336,,0.0,120.0,0.0
169264,10498983,-74.125125849,4.56374817300002,CL 51-KR 13 S 2,2019,Octubre,5,sábado,5,20,Tunjuelito,Atropello,,,Con Heridos,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0,0.011698353718417953,1298.5172627443928,AV.CARACAS,AV.P.MAYO;CL80,4.5552695,-74.11706585,0.0,24.44125223672131,,0.0,122.0,0.0
169265,10498984,-74.123825084,4.68393849799997,CL 26-KR 93 2,2019,Octubre,6,domingo,0,30,Fontibón,Volcamiento,,,Con Heridos,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000238.0,0.0033935378484696676,376.6827011801331,CL134,KR58;KR53,4.68384265,-74.1204329,1.0,41.392759752857145,,0.0,119.0,1.0
169266,10498985,-74.0403,4.67610000000002,KR 7-CL 95 2,2019,Octubre,4,viernes,14,50,Chapinero,Choque,Vehículo,,Solo Daños,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000191.0,0.009647876093999848,1070.9142464339832,KR9,CL161;CL147,4.67150165,-74.04878155,0.0,25.263703253916667,,0.0,120.0,0.0
169267,10498986,-74.187334226,4.62768059299998,KR 88C-CL 56F S 2,2019,Octubre,5,sábado,14,20,Bosa,Atropello,,,Con Heridos,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0,0.015935076795447627,1768.7935242946867,KR86,CL57BSUR;KR91,4.616729,-74.1989096,0.0,15.364381362857143,,0.0,119.0,0.0
