TID,NAME_FROM,NAME_TO,DISTANCE_m,VEL_MEDIA,VEL_PICO,N_REGISTROS,lat_from,lon_from,lat_to,lon_to,lat,lon,confianza,query_from,query_to
1000759,KR80,CL26SUR;CL38CSUR ,656.0,22.54,20.1,2944,4.7477516,-74.0752683,4.6477331,-74.134128,4.69774235,-74.10469815,alta,Carrera 80,Calle 26SUR
1000760,KR80,CL38CSUR;CL26SUR ,679.0,13.85,11.53,2942,4.7477516,-74.0752683,,,4.7477516,-74.0752683,media,Carrera 80,Calle 38CSUR
1000761,KR80,CL38CSUR;CL43SUR ,1018.0,17.3,12.1,2943,4.7477516,-74.0752683,,,4.7477516,-74.0752683,media,Carrera 80,Calle 38CSUR
1000762,KR80,CL43SUR;CL38CSUR ,1020.0,15.37,12.38,2942,4.7477516,-74.0752683,,,4.7477516,-74.0752683,media,Carrera 80,Calle 43SUR
1000763,KR80,CL43SUR;CL55SUR ,1181.0,19.42,16.13,2942,4.7477516,-74.0752683,,,4.7477516,-74.0752683,media,Carrera 80,Calle 43SUR
1000764,KR80,CL55SUR;CL43SUR ,1166.0,19.86,15.48,2943,4.7477516,-74.0752683,,,4.7477516,-74.0752683,media,Carrera 80,Calle 55SUR
1000765,KR26SUR,KR80;KR78K ,604.0,15.19,14.0,2943,,,4.7477516,-74.0752683,4.7477516,-74.0752683,media,Kr26Sur,Carrera 80
1000766,NQS,P.MAYO;CL38ASUR ,1049.0,32.93,29.5,2944,4.6181546,-74.0857383,4.6003862,-74.1177814,4.6092704,-74.10175985000001,alta,Nqs,P Mayo
1000767,NQS,CL38ASUR;P.MAYO ,1088.0,26.69,22.56,2944,4.6181546,-74.0857383,,,4.6181546,-74.0857383,media,Nqs,Calle 38ASUR
1000768,NQS,CL38ASUR;GRAL.SANTANDER ,701.0,41.04,32.94,2944,4.6181546,-74.0857383,,,4.6181546,-74.0857383,media,Nqs,Calle 38ASUR
1000769,NQS,KR67;KR62B ,792.0,25.41,21.93,2893,4.6181546,-74.0857383,4.6331855,-74.1194913,4.62567005,-74.1026148,alta,Nqs,Carrera 67
1000770,NQS,KR67;KR71 ,861.0,39.25,32.04,2895,4.6181546,-74.0857383,4.6331855,-74.1194913,4.62567005,-74.1026148,alta,Nqs,Carrera 67
1000771,NQS,KR71;KR67,857.0,33.87,24.48,2895,4.6181546,-74.0857383,4.6227626,-74.1337059,4.6204586,-74.1097221,alta,Nqs,Carrera 71
1000772,KR50,CL16SUR;CL33SUR ,921.0,26.8,21.39,2945,4.6906399,-74.0613571,4.6508915,-74.1391613,4.6707657000000005,-74.1002592,alta,Carrera 50,Calle 16SUR
1000773,KR50,CL33SUR;CL16SUR ,926.0,30.12,25.1,2944,4.6906399,-74.0613571,,,4.6906399,-74.0613571,media,Carrera 50,Calle 33SUR
1000774,CL17,KR123;KR128 ,549.0,20.3,13.1,2943,4.6126833,-74.0857245,4.6849507,-74.1622812,4.648816999999999,-74.12400285,alta,Calle 17,Carrera 123
1000775,CL17,KR128;KR123 ,549.0,17.13,12.59,2943,4.6126833,-74.0857245,4.6874422,-74.1663199,4.65006275,-74.1260222,alta,Calle 17,Carrera 128
1000776,KR36,CL19;CL6A ,1649.0,20.42,18.4,2914,4.5701198,-74.1505816,4.6346758,-74.1044073,4.6023978,-74.12749445,alta,Carrera 36,Calle 19
1000779,CL6,KR36;KR42 ,799.0,33.02,26.85,2944,4.6413258,-74.1567299,4.5701198,-74.1505816,4.6057228,-74.15365575,alta,Calle 6,Carrera 36
1000780,CL6,KR42;KR36 ,834.0,29.4,26.15,2943,4.6413258,-74.1567299,4.6118611,-74.1155583,4.62659345,-74.1361441,alta,Calle 6,Carrera 42
1000938,CL24,AV.AMERICAS;KR40 ,605.0,16.75,13.49,2943,4.6157021,-74.0766157,4.6273108,-74.1039185,4.62150645,-74.0902671,alta,Calle 24,Avenida de las Americas
1000939,CL24,KR50;KR43A ,726.0,19.54,17.29,2944,4.6157021,-74.0766157,4.6906399,-74.0613571,4.653171,-74.0689864,alta,Calle 24,Carrera 50
1000940,CL24,KR14;KR10 ,318.0,14.39,12.92,2927,4.6157021,-74.0766157,4.7467019,-74.0351578,4.681202,-74.05588675,alta,Calle 24,Carrera 14
1000941,CL24,KR10;KR5 ,400.0,13.47,12.06,2941,4.6157021,-74.0766157,4.6656257,-74.0518116,4.6406639,-74.06421365,alta,Calle 24,Carrera 10
1000942,TV39,CL6;CL13 ,726.0,19.83,16.55,2929,4.6007329,-74.1170057,4.6413258,-74.1567299,4.62102935,-74.1368678,alta,Transversal 39,Calle 6
1000943,TV39,CL13;CL19 ,764.0,21.19,20.24,2755,4.6007329,-74.1170057,4.6006381,-74.0695381,4.6006855,-74.0932719,alta,Transversal 39,Calle 13
1000945,CL19,KR36;KR27 ,1060.0,28.06,24.94,2943,4.6346758,-74.1044073,4.5701198,-74.1505816,4.6023978,-74.12749445,alta,Calle 19,Carrera 36
1000946,CL19,AV.CARACAS;KR17 ,360.0,17.54,17.62,2944,4.6346758,-74.1044073,4.5637523,-74.125194,4.5992140500000005,-74.11480065,alta,Calle 19,Avenida Caracas
1000947,KR6,AV.P.MAYO;CL10ASUR ,851.0,14.07,13.15,2603,4.5798868,-74.085187,4.6016787,-74.1200151,4.59078275,-74.10260105,alta,Carrera 6,Avenida Primero de Mayo
1000948,CL147,KR9;KR7 ,710.0,20.91,20.56,2944,4.7337743,-74.0630199,4.6071991,-74.072691,4.6704867,-74.06785545,alta,Calle 147,Carrera 9
1000949,CL147,KR9;KR15 ,1030.0,16.15,13.28,2940,4.7337743,-74.0630199,4.6071991,-74.072691,4.6704867,-74.06785545,alta,Calle 147,Carrera 9
1000950,AV.SUBA,CL116;HUMEDAL.CORDOBA ,752.0,36.39,30.34,2943,4.7492477,-74.1011999,4.6925779,-74.0288797,4.7209128,-74.0650398,alta,Avenida Suba,Calle 116
1000951,AV.SUBA,CL127;HUMEDAL.CORDOBA ,456.0,31.82,32.01,2944,4.7492477,-74.1011999,4.7285231,-74.1021337,4.7388854,-74.1016668,alta,Avenida Suba,Calle 127
1000952,AV.CORDOBA,CL127;AV.SUBA ,1197.0,23.21,17.8,2941,4.724428,-74.0608295,4.7285231,-74.1021337,4.72647555,-74.08148159999999,alta,Avenida Cordoba,Calle 127
1000953,AV.CORDOBA,AV.SUBA;CL127 ,1229.0,20.89,17.69,2940,4.724428,-74.0608295,4.7492477,-74.1011999,4.73683785,-74.0810147,alta,Avenida Cordoba,Avenida Suba
1000956,AV.P.MAYO,KR52A;NQS ,1833.0,28.35,24.33,2944,4.6016787,-74.1200151,,,4.6016787,-74.1200151,media,Avenida Primero de Mayo,Kr52A
1000957,AV.P.MAYO,DIAG19SUR;AV.CARACAS ,439.0,12.35,8.71,2943,4.6016787,-74.1200151,,,4.6016787,-74.1200151,media,Avenida Primero de Mayo,Diagonal 19SUR
1000958,AV.P.MAYO,DIAG19SUR;KR27 ,671.0,24.0,18.92,2943,4.6016787,-74.1200151,,,4.6016787,-74.1200151,media,Avenida Primero de Mayo,Diagonal 19SUR
1000959,KR50,CL24;CL53 ,1621.0,30.19,22.88,2944,4.6906399,-74.0613571,4.6157021,-74.0766157,4.653171,-74.0689864,alta,Carrera 50,Calle 24
1000960,KR50,CL53;CL24 ,1616.0,30.63,24.38,2943,4.6906399,-74.0613571,4.657941,-74.0999396,4.67429045,-74.08064834999999,alta,Carrera 50,Calle 53
1000961,CL72,KR24;KR55 ,1251.0,24.63,20.03,2943,4.7141771,-74.1295882,4.5402799,-74.154251,4.627228499999999,-74.1419196,alta,Calle 72,Carrera 24
1000963,CL72,KR64;KR70 ,1412.0,23.33,17.85,2943,4.7141771,-74.1295882,4.6896941,-74.0683232,4.7019356,-74.0989557,alta,Calle 72,Carrera 64
1000965,CL26,KR22;KR33 ,1374.0,24.76,20.19,2934,4.616137,-74.0724502,4.6133343,-74.0844221,4.61473565,-74.07843615,alta,Calle 26,Carrera 22
